sentimen,Tweet
0,broimak video ribka tjiptaning tulis buku aku bangga jadi anak pki tuju pki tetap yang
1,kak mau jugaa
0,mau mandi diceramahin dulu sama nyonya besar inti sama tobat kamu abis iniiap komandan
-1,para suami aku nasihat jangan forward gambar isteri aku baru forward tadi
-1,aku tak faham betul lelaki tak suka perempuan pakai makeup
-1,wasyuu
1,kamu yang ingin jadi tempat singgah terakhirebesar harap kepada jangan mengecew
1,aku dulu lahir jogja jogja juluk kota hati nyaman pantes aja aku langsung pake hati kalo udah nyaman dikit
1,guys aku jumpa ayat guna guna time korang tengah putus asa sabar terbahagi dua iaitu sabar
0,jual suruh tebuk lubang kecik tahan lebih hari aku dekat bulan
1,fresh grad tgh cari kerja try amal zikir semua doa alhamdulillah lepas amal aku pon dpt
-1,least datang balik minta maaf okay lah hilang radar tinggal aku pesan kau ingat senang nak stick
-1,macam mana nak tidur kalau still fikirkan orang kita sayang okay tak tidur lena perlu aku tak
0,kengkawan lama suka cari aku bila nak translate bahasa jawa hahah ingat aku anak jawa
1,kalau akhlak lebih baik engga kalau lebih harga melindun
0,aku kepo
-1,aku betul betul nak mintak bantu korangemua cari haji loqman bin haji azli mugkin korang tak kenal mugkin
-1,her miss kan taman safari jauh pasuruan aku males nganterno andrew kesana kalo taman safari tak undang
0,arti aku bener dong jawab cowok dapet 2jt nih
0,tls followan ama aku yukk rep temenan
-1,modal nomad ribu kotak popcorn modus mesum lancar pertama tama kamu rasa aneh lama lama kamu izin maksiat
-1,terkadang allah kasih tahu kalau itu bukan buat kamu cara sakit
-1,back then school cikgu semua macam jangan cinta sekarang kat uni handsome handsome kamu jumpa now
-1,ingat tak macam mana mula mula kenal dulu awal nya aku tertawa akhir aku menang
-1,kalau tak sungguh nak jaga aku henti berpura2 aku jaga diri aku paksa kau kau tak perl
-1,iya hubungin aku aja butuh dosa berapa banyak wkwk
1,buat dong aku kan istri daniel
-1,kalau mahal service bagus takpe streamyx aku kat rumah barai
1,hihihihi look the face lepas aku taknak kau bau ikan aku mandi dulu namau nameow catsoftwit
-1,jauh aku jalan dahlia baru peras tinggal labcoat kat dinamik sobss
0,antra bebanyak pondan malaysia aku rasa viviana bila cakap content ive never thought komuniti
0,lepas tengok movie onetwojaga ingat pulak time intern dulu kerja contractor quantityurvey juruuk
0,tahan sayang juga paksa kamu kapel kamu yang mana
1,guys today aku nak rekomen kat korang movie2 best some you maybe blm pernah tengok movie aku tak berapa
-1,waktu aku mulai jalan hidup sendiri mello death note
0,aku pergi klinik muntah tengok carta organisasi buat aku nak gelak apa wei
-1,nampak org semua gambar kawen husband aku gambar ambik sendiri
0,allah ken ngakak goler2 aku sama trit iniiii
1,harini dah banyak sangat ketawa krem perut aku yall
-1,dont know lah nak kata macam mana sekarangebab aku sorang rasa sakit orang dont judge
-1,gemes banget adminnya aku jadi marah
0,pastu kan perangai still babi nampak sangat taknak aku kahwin biasa biasa
0,siang happy friday sholat jum nya jangan lupa aku habis giat terus ada latih bareng team
0,kawan aku tips dietebab masa cuti just makan nie utk diet and bila naik sem hari dah kurus giler
1,tuhan yesus kata aku ganti rasa frustasi hati damai sejahtera mbml
1,aku doa lelaki tengah kerja cari duit pasang masing masing beri kesihatan murah rezekiemo
-1,bisa aja kamu naruto padahal emang ken nyium muka disalahin
-1,keluar airmata jantan aku baca
-1,siapa first impression macam niumpah aku ingat kau dulu sombong gila orang cakap kau macam sombong aku
0,aku tadi nge wah wah wah
-1,wah pas nonton berita yang lamar pas wisuda jadi aku tuh yang nak lamar pon siape
0,benar takde ciri bila dah sayang someone gelap kita suka putih kita suka tak hensem
0,ayat tipu paling besar jap tengah siap otw tak study takda kredit lah pakai duit
0,izin aku mengupload
-1,aku rasa aku bisa laku apa elfungmin
-1,instagram facebok twitter cantik depan depan takde cantik mana bagitahu akuekarangiapa nak upl
1,syukur hingga kamu lupa rasa kurang tulisanirin jumatberkah
1,segitu kangen mba sama aku
0,kamu jangan lupa sholat dzuhurnya
0,life skang aku simplekan aku tak suka aku tak layan penat jaga hati org pikir diri sendiri dlu
-1,bayang kalau posisi kamu bwah orng lihat rendah karna materi kita punya
1,hidup adalah pilih harus kamu pilih
0,tiap salam buat suami aku exo korea paaak
-1,laa haha sorry2 akua paham
-1,receeehh kamu
0,masalah pinjam lighter bang pinjam lighter jap light kena diri jap dup satu pam kene hembus dlu nak ucap
-1,kurang kurang nya rm100 kalau budak miskin kau suruh mcm mana minta sedekah lepastu bila tak cukup kau
0,tidur tak buka kipas aircond bcs takut the kitten sejuk bangun approximately every hours just dia nang
1,keli jadi femes apantah aku kan kahkahkah
-1,mau beli barang shupe harga puluh ribu ongkirnya 25ribu kesel banget deh wheres the justice tho aku jadi kayak
-1,aku butuh selang waktu kerja visual biar mampus kalian tunggu kali rasain
-1,kok gitu sama aku
-1,kira aku introvert nyata pedopil
0,pagi apa malam pagiudah pernah coba trik pancing pancing kayak gitu
1,sayang sakit jadi aku sentiasa buat sayang
-1,omg kau jgn buat aku kfc ppagi cmni
0,mamak nak try aku apa
-1,mau serius aku nya raguuu gmn donggg yaudah jangan kasih harap dia kasiaan
0,tomorrow will date with yesterday you movie aku download kata sedih start movie ending duk fikir
1,liked video aku tanya pak jokowi pakai bahasa jawa
-1,kalau jadi atas gausah sombong2 deh tindas karyawan apa kamu langsung jadi milyuner larang orang masuk ada
0,aku ngatau nih bang definisi hasil apa nga
0,sama aku kapan
0,aku main deg degan mulu wkwkwk kamu apaa
-1,kayak woojin kesringan barengih dasar anak kembar
1,okaay nggapapaa aku minta doyoung ajaa makasih yaa
0,aku jual
-1,dulu waktu kecil aku cita cita jadi orang khianat
0,waw beliin buat aku dong
1,aku terima nikah mas kahwin bacaanurah fatihah dear future wife kita kahwin sedekah fat
1,makan samyang yuk aku udh lama makan samyang udh lama sayang
-1,lah dulu aku paling malas kutip malu kot mintak duit orang
-1,rama gak usah ganggu aku sama karya
-1,jangan begadang jangan minum2an soda jangan kau pilih pilih aku mampu cinta lebih dia
1,pegi kedai bawak lah adik aku teman pastu uncle tanya anak you muka sama hahaha muka aku macam orang dah kawin doh
0,amin ustazah pening kepala takpelah awak tulis apa awak laratampai masa aku suruh hantar buku tara
0,aku tak tahu bila time gaduh english aku automatic power aku rasa time exam kena gaduh dulu before jawab
-1,mikirnya gtu pngn ngegas apa aku hanya orng kecil pnya pengaruh ngegasnya sia2 kwkwkwk
1,aku suka mie sedap kalau tumis ulang pake bawang merah bawang putih telor daun bawang iris
0,kamu shalat jum letsfridaypray
-1,nak tnggu org reply email mmg lambat citenya aku nak settle kan bulan jgk
-1,rlt mutualan gamasalah aku suka sama twt receh aku tapi follback kalo ngga maapin
0,giveaway ina only ada nungguin wdtv hampir gila kaya aku help dong doa sekali
0,moga kamu jadi salah satu 3ahabat untung dapetin pulsa 50k jangan lupa like ajak teman kamu unt
-1,dara aku buat pergi kenduri kahwin lepas ramai sangat orang lepas risau tak tempat duduk htt
1,aku jadi ratu pasti kau raja kan
0,aku baru tukar tayar depan myvi pasang 450 malam
0,hallo aku selancar twt ttg belanja gmarket gitu trs nemu pernah beli album gmarket
-1,kot kalau nak buat insta story takyah jerit2 bingit sia telinga aku ckp biasa2 orang dah dgr
-1,orang selalu kata aku penat when benar tengah rasa sedih
-1,aku ria sekalipun bukan kau nak appreciate
0,aku nak buat nie
0,pipi nya cubit pipi kamu emang mau nya cium dmn
-1,aku harap tak jual fhone semata nak beli
0,memang best tengok ikan datang aku pon pernah buat dekat pulau makan roti buat salah ikan kene
0,kalo aku baca sih emang kamu ngetik jelas wkwkwk
1,aku gemar mie burung dara enak nyambung terus
-1,assalam macam mana lelaki ingat jalan jauhelekoh belok2 rujuk maps even pernah pergiekali kalau aku
-1,kalen kalen jahad aku
-1,weyhh tolong faham aku sakit kau langsung tak kesah aku baru balik drpd klinik aku gagah badan aku
-1,lebih baik aku kopi biar basi kau sapa dar basa basi
0,giveaway pulsa 20k orang menang cara retweet follow akun aku aja menang aku umumin tangga
1,kalau suami aku panggil sayang macam gonna make babies right after
0,ngapain kamu
-1,aku confuse dgn jual malaysia macam asik tunjuk kaya nak jual nak show off tunjuk kaya then
1,strong bro
0,pernah pas ngajar privat adek kakak murid adek aku weekend mau spore miss pernah
0,aku dok bayang macam alien keluaq dada
1,buku buku suka baca malam kian jauh sendiri aku jadi buku telungkup
0,adik aku darjah tetiba masuk bilik pastu pantun bread rotihadow bayangebelum akak mati better
0,fastga gifwinner palinguka pake banget iniiiii yoon the cutest and mino pampers him
0,laki ada ayat lahai
0,diam tak arti kamu kalah kadang hanya arti kamu tak debat dng orang bahkan tolak tuk dengar
0,tengok
0,isteri tak sihat sejak smlm mcm biasa aku keluar pagi jam 30am hantar anak2 tadika taska but
1,cerita hari aku baru beli hamster biar ngga sepi aja sih rumah aku pandaaaang terus berdu
0,aku ngak haha cuma bawa tas selempang kecil aja udah kemana2
0,biasa lewat jalur mana arah kampung kamu
-1,udah gausah baper itu ngetik cuma pake jari jadi kamu baca pake mata aja gausah pake hati
1,tak perlu takut tinggal hormat banyak sempat untuk jadi lebih hormat kamu berani
1,let make this clear paan dlm hidup kan kalau xrasa gagal xkan motivasi
-1,may aku postedih gak nonton homeshake amp mild high club jakaa cosmo pyke diingapore
1,allah aku lindung siksa kubur siksa neraka jahannam fitnah hidup mati dari
0,rlt suka jb2 yuk followan aku butuh temen ngobrol cuman butuh followers aja yaaa
1,kuis kuis emang daihatsu baik banget yaahabat bagi hadiah pulsa terus kuis kali kamu tebak
0,kalau tak sungguh nak jaga aku henti berpura2 aku jaga diri aku paksa kau kau tak perl
0,bucin exo mutualan yuu rep yaa aku nya janji follback kenal
-1,sakdurunge koe dadi uler aku wes dadi kupu dadi saran rasah perlu ngetoke goblok nganggo coro mbanggake bab nakalm
1,stay beside you was job hehee sayang kamu
0,sebenernya aku gapapa sih which tuh penting bgt kan english tuh literally international language prefer bah
-1,dah lah cpk aku
-1,sedih bila aku cerita patient aku huhu makcik nie masuk ward heart attack baik sngt suka tegur aku senyu
0,benda aku rasa tak perlu nak bawak gurau rupa paras bentuk badan insecurities contoh gagap pas
0,aku pake bagpack
1,hahahahaha hibur betul lah lol semua tempat tiful kan ingat aku sorang peras typo dekat caption
0,aku tinggal aku harap tak orang post gambar kubur aku letak caption panjang lebaq kau sedekah
0,aku ingat hari hari takda data org cari aku dekat rupa takda langsong
0,baca aku golong org kaya
1,fams sama aku yuk
0,hari2 kalau tido brape jam mati sia otak aku
0,sembang budak legend aku kau ajar kat mana main boi
-1,aku nang nih
0,bts aku sedang sibuk nafkah keluarga kejar impi army aku sedang sibuk nafkah orang sudah
1,aku cuba nak amal sikap pergi mampus sayang aku gagal aku jenis mudah kesi mudah maaf
-1,aku tusuk belakang sakit
0,askmf ayah aku ayah kan gak suka pedes masakan mama pedes tetep ayah makan soal mama kamu
0,aku tahu kalau check the girls idam peluk tido but then tak rasa kebas lelaki statik tido mcm
0,tahu kamu 14eptember ingat hari kunjung pustaka ingat mulai sejak tahun 1995
0,nctea lama aku cuma tau foto jisung aja sini sekarang udah tau video nya mission complete https
0,tadi dapur mkn aku nyanyi lagu aizat air wudhukmu jadi seri lima waktu mak sound
-1,lama mmg tinggi pernah jdi halang rupa selalu jadi halang
-1,sedih rasa kadang kadang bila doa aku doa makbul walaupun aku bukan hamba baik allah tau apa
0,aku tambahin deh nih
-1,baru kecewa hang takmau mai kat aku
0,aku pernah ketemu lisa blackpink solat mesjid thailand wudhu aku liat
1,wkwkwk doa aja kamu lip banyak moga ganteng wowognya
0,aku macam tahu siapa bdhshshhs
-1,aku tgok lelaki asia mostly lpas kawin badan naik boroi
0,kamu tanya aku juga mau tanya
1,udah tau ikon jaman win aku suka pertama taehyun terus suka yunhyeong aku dukung
0,aku baca buku suka puisi yuk reply halaman sampe 153 aku fotoin rlt
0,nama kucing sama denngan nama aku
1,gilaaa beliin aku dong kak
0,aku jual penting email aktif
0,ayo siapa yang mau
0,freebies alle yuk cari aku venue ikutin rules gambar untuk dapetin freebies idealcutinjkt apinkinjkt
0,woooojin apaaa jihoon
0,kah lah aku confuse hmmm
-1,wanita paling malang dunia wanita salah pilih suami isteri cermin suami cantik suami cant
0,aku pilih2 pemenangnyausah komentar bagus2 jdi bingung pilih tunggu sebentar okem
0,bila intai kertas exam masa kau buat
-1,doin math paper hshshshshshsh bodo asal takama dgn jawapan aku hshshssh minit tembak
-1,gila punya perempuan gaduhikit bulan tak tegur lelaki gaduh hari esok dah stable sama
0,mau acc kamu jadi rame yuk upfoll aku harga rules cek pinned upfoll
-1,yng aku blja yng kuar uji yng aku jwb aku dpt gred ehh taknk dapt btul2
0,wao ainul manul dekat gtdc tulah aku takdak kat situ baik balik boh
1,kalau kamu mau hormat mau hormat
0,aku daftarr jfclosedday
-1,makin aku besar makin banyak perkara aku pendam tak kongsi orango jangan pelik kalau aku dah tak kuat semb
1,lah hari tidur tanya diri sendiri self reflect perangai babi sampah apa aku buat harini
-1,tadi pamit tidur aku cek kamu kok ijo ijonya
1,bibi adik cantik suka banget liat kalau kamu neng enggak tau jadi ikut neng pos
-1,jangan jadi kompor kamu jeffan
1,aku ikut habib lutfi aja rois aam jam iyyah ahlith thariqah tabarah nahdliyyah minta turun bendera
1,omg kamu lihat bigolive
0,ohh buatpa weh dkt dgn aku tuu hahahaha
0,erm macam tautau apa aku perlu sekarang
-1,orang ganteng wangi murah senyum asik lemah lembut ngetik aku bhay
0,dear followers and friends kalau korang buat photoshoot makan aku aku price photoshoot
0,mintak dil satu bila dengar dil sebut semua kan kau tak rasa geli tau konon mcm nak kata jiwang and
1,jadi diri sendiri ketika orang cinta kamu tak perlu takut dia temu diri bukan orang
0,aku naik bas bot nii
0,coba posisi dituker deh kamu suka makan aku suka masak
0,giveaway ada dlm rangka bday guanlin mau tambah tmn monbebe amp nctzen
-1,minta ais batu anjir
-1,iya sabar aku mah tiap jeno selalu lesat mengetag amu
-1,omg batuk aku darah ada jumaat akhir
0,untung mak aku anak suka tangkap gambar cuba teka umur berapa
0,tak marah kau kacau tidur tiap pagi genggam kecil muat satu jari dalam kampung hati kau gergasi
0,rangorang mikir kalo crazyrichsurabayan tampil perlente pake barang mewah atas ampe bawah bias
1,tanya aku diam angguk tahu dia orang baik
1,aku pake himalaya neem mask gin kok bagus emg matull banget
0,aku bukan gadis berniqab alhamdulillah aku henti berselfie share gmbar
-1,perempuan tak tau leher aurat tak kisah lah kau pakai turban serban lantak kau parents kau
0,kuat sangat hantu kat rumah aku
-1,lah aku tuh susaaah orang dikit dikit pikir makanya anak gampang pusing stress sendiri
0,terus aku duduk atas situ gitu
0,kalo nilai ulang kamu jelek jangan panggil aku ayah oke yah esok hari gimana hasil ulang
1,selalu buat macam kali nampak peti ais kat dapur haha
0,apa daya aku fanatik sama gaga rasa black paper
0,membe aku baru lepas pickup line masa nak bayar makan tadi awak orang mana malaysia yela duduk manaini
0,syukur kamu tahu tahu hubung dgn permesta
-1,dulu waktu kecil gue mikirnya gapapa sekarang jelek item dekil buluk gede cakep sampe sekarang 13928174
0,aku malah nangkepnya kreatif lucuk sih dia naro link tweet berita hubung sama
1,idola aku banget mba
-1,pelik aku sunyi sepi damak haritu
-1,mimpi langsung lupa padahal semalem aku mimpi dapetin kamu sekarang lupa cara recehkantwiter
-1,mau nang banget aku pas ngerujuk pasien pake ambulance mas gojek bantuin bukain jalan padahal beliau bukan
0,maryan sejak zaman evdo rev kamu balita sampe zaman now depan mata rumah speed
0,otobiografiebuah banatu bangun seperti rumah tradisional dayak tetapi beda kalau rumah
1,sungguh kuasa diri tanda dewasa seseorangelamat buat kamu memang benar benar
0,orang sabah jangan kamu kasitau pulau mana selamat biar dorang nak culik betul betul abu sayap
0,bodo betul aku hibur bodo member ceni
0,aku penasaran bagaimana akhir kisah
0,aku tambahin deh biar jadi
0,tweet bangang mcm liar socmed kawan2 tengok gender mana trash huhu
0,macam cekgu
0,suk mben sepakat nde kerjo karo gawe kopi dewe aku nganggur karo nukokke maeman ning
0,tengok anak buah aku gais
-1,aku tak faham diri aku
1,hahahaha pastu buat2 kejut dah aku tumbokk muka kau kang
-1,plk dio langgar lampu merah simpang belok kanan aku sempat nepik time kereta merc kiri
1,presentasi hari lancar aku mau bikin album only wanna ver one ver aja need follow
-1,aku malas nak ikut kembang latest iphone hahahahah tak check kalau korang tolong bagitahu kat
-1,aku jenis reply chat orang cepat nak mampus orang lepas jam baru reply and aku terima
-1,misal suatu kondisi dmn aku bnran galauin trus ngetweet galau seolah2 buat aku padahal buat org itu babi nama
1,shopee kamu apaa mau dong
0,mutualan yuk aku ikonic btw aja fllbck tpi hehe
0,aku mau puk pukin yuqi
0,periksa dokter kalo didiemin doang kena sakit lambung mesti rujuk rumah sakit kaya aku waktu
1,laksana segala apa wajib allah niscaya kamu jadi orang paling takwa ath thabrani
0,naik lift dgn member nak jumpa prof tingkat aku keluar tingkat member keluar tingkat hahahahah bongok apa memasing
0,dulu paling lama betegur dgn bff sendiri dkt 3bulan kot rasa
-1,udah kyk gin aja msh bilang males temen temen aku baju celana nya aja masih cuciin emak nya
0,dear cowok salat jumat bikin kamu ganteng bikin kamu jadi calon imam baik ingatalat jumat
-1,mbak takut kamu marahin makanya bilang enggak kalo mau coba tanya sekali tapi pas kondisin
0,juluk mahasiswa wajib kamu tau nyawwwenyawwwa artikelnyawww infonyawww
0,help butuh donasi buat kucing jadi kucing suka sekitar rumah aku dulu sering bgt rumah tidur
-1,crush kalau nak tegur tegur kalau suka cakap suka kau dok tengok story aku tak pernah missebb
1,aku cinta segala promo grabfood bisa makan burger mcd harga ayam geprek
0,aku liat kalo kamu morotin
0,tlg please perempuan baca malu wei malu bila ria cerita kat kwan aku skli dengar aku
1,aku mungkin luar nampak happy lucky sentiasa senyum dgn orang keliling friendly gelak ketawa dekah
0,org bilang time2 mngandung jaga mulut aku ini peluang aku mau sumpah time2 mngandung lah mujarab doa
0,yang cakep asli foto cakep foto asli aku jelek dua
1,aku cinta
-1,aku serah bapa
0,pah butang baju melayu aku mana pah
0,and aku tingkat wehhhh bila bunyi rasa punya gegar jalan kuat2 and
0,bila dekat universiti aku selalu dengar orang label student macam deme pandai hadap buku soal hidup deme
0,hmmm cari topik paling baru ada gap teliti sebelum2nya jadi kamu isi
-1,apa kau nak tinggal aku nak aku mati allah ampun semua dosa aku mati aku kead
0,nak try jugak laaa tulah aku jela selalu ckp takecare
1,done watching dil 1990 2018 start movie habis aku senyum sorang nasib baik tengok sengsorang kalau ram
-1,kamu salah wiwin manusia buat teman hidup bukan utk harap harap tuhan alloh
-1,ken suudzon dulu pernah gin ilang charm gitu jadi sama persis aku pamerin
0,kerja apa kamoo hmb
0,urut sesuai sticker yah btw aku double essence laneige dipake minggu aja selang
-1,kenapala aku taktegur kau tadi padahal niat aku nak tegur kau nak jadi kawan macam belum nierious aku
-1,walaupun diri dah hancur percaya aku cuba untuk bahagia orang keliling putus asa sahaja
-1,aku nang baca komik
1,aku mau
0,kalau awek kamu bising nothing wrong once awek kamu dah senyap everything wrong perhaps dah someone
0,ada sih beberapa gramed jilid jual sana sebenernya cuma bua
-1,semua masa lalu biar lalu rasa syg aku kamu gak bakal lalu gitu aja aku syg kamu
0,kamu punya berapa banyak topi cuma
-1,aku why kena taboks jadi teman papa lum intel
-1,aku mau ngutuk rizkiko
-1,bukan coba kamu lawan sakit bukan coba kamu sakit bukan coba kamu lupain sakit coba biasa
0,wwwwwww serius juga nih temen kuliah pontianak sini dibeliin rumah sama mobil aku anak asli kota
0,bodola emma tak jadi aku nak murung harini
0,siap2 mau jumat jadah sama sarung baru aku siapin
-1,gimana cara biar aku tau asa sebenarnyaa
1,doa ibu bapa allah ampunila
-1,engkau tdk takdir untuk aku sangat berterimakasih engkau sempat temu dgn cipt
0,aku mau money buat bucin dreamies apa berkat nct dream aku dpt rejeki lebih tak duga
0,nany tanya kau suka aku then cakap suka lah belum jatuh hati hhahah bongok nany anggap kawan
0,wkwk ngapa jadi nanya aku tau aku kalo akun private nit kalo tetep gabisa mungkin bom update
0,aku ingat gagal tadbir negara elok salah nak tanding penting parti sendiri pon salah
0,punya anak ajak event
0,terkadang kalo lihat orang jalin hubung sudah lama pas dengar mau nikah biasa karna
-1,kadang meski kamu yakin lupa buah lagu mampu bawa semua kenang indah sama pikir kmutiara
0,hai adik2 ikut lomba poster yukudah kali anak indonesia jadi juara duniaiapa tau kamu juara tahun
-1,masuk tandas bayar okay mana free nak main bagi
0,klu asli aku layanin pkkny teganv serbaaa
0,akhir akhir aku sering mimpi bahkan aku sedang tidur
1,tampil sndiri atas diri hadap audiens lakuin lihat ssuatu skill tuntas buat smua kagum
0,aku still the same perut aku pon still same
0,wag aku
1,ciri lelaki idam aku kena sama macam ayah aku
-1,sumpah annoying weh masalah kau jgn expect aku selesai
